Year0	left	right	BeforeCount	AfterCount	BeSpan	AfSpan	AfAvg	BeAvg	EditorId	IssnId
2009	2005	2014	1.0	4.0	5	5	0.8	0.2	2	2
2009	2005	2014	1.0	1.0	5	5	0.2	0.2	106	2
2005	2001	2010	0.0	0.0	5	5	0.0	0.0	4925	2
2005	2001	2010	1.0	0.0	5	5	0.0	0.2	5321	2
2005	2001	2010	2.0	0.0	5	5	0.0	0.4	5623	2
2009	2005	2014	3.0	0.0	5	5	0.0	0.6	5938	2
2009	2005	2014	2.0	0.0	5	5	0.0	0.4	6775	2
2005	2001	2010	0.0	0.0	5	5	0.0	0.0	6993	2
2005	2001	2010	0.0	1.0	5	5	0.2	0.0	7203	2
2005	2001	2010	0.0	1.0	5	5	0.2	0.0	8021	2
2005	2001	2010	0.0	0.0	5	5	0.0	0.0	9590	2
2009	2005	2014	0.0	0.0	5	5	0.0	0.0	11969	2
2005	2001	2010	0.0	0.0	5	5	0.0	0.0	12512	2
2005	2001	2010	1.0	2.0	5	5	0.4	0.2	12712	2
2005	2001	2010	2.0	0.0	5	5	0.0	0.4	16998	2
2005	2001	2010	1.0	0.0	5	5	0.0	0.2	19082	2
2005	2001	2010	0.0	1.0	5	5	0.2	0.0	19272	2
2009	2005	2014	0.0	1.0	5	5	0.2	0.0	610	2
2005	2001	2010	0.0	0.0	5	5	0.0	0.0	3530	2
2009	2005	2014	0.0	2.0	5	5	0.4	0.0	4536	2
2005	2001	2010	0.0	1.0	5	5	0.2	0.0	6313	2
2005	2001	2010	0.0	1.0	5	5	0.2	0.0	8149	2
2005	2001	2010	0.0	1.0	5	5	0.2	0.0	16373	2
2005	2001	2010	0.0	3.0	5	5	0.6	0.0	19306	2
2005	2002	2010	0.0	0.0	4	5	0.0	0.0	2518	2
2009	2005	2014	0.0	0.0	5	5	0.0	0.0	3175	2
2009	2005	2014	0.0	0.0	5	5	0.0	0.0	4667	2
2005	2001	2010	0.0	0.0	5	5	0.0	0.0	6194	2
2005	2001	2010	0.0	0.0	5	5	0.0	0.0	7089	2
2005	2001	2010	0.0	0.0	5	5	0.0	0.0	7216	2
2005	2001	2010	0.0	0.0	5	5	0.0	0.0	9776	2
2005	2001	2010	0.0	0.0	5	5	0.0	0.0	16010	2
2009	2005	2014	0.0	0.0	5	5	0.0	0.0	16030	2
2005	2001	2010	0.0	0.0	5	5	0.0	0.0	16567	2
2005	2001	2010	0.0	0.0	5	5	0.0	0.0	18496	2
2005	2001	2010	0.0	0.0	5	5	0.0	0.0	18499	2
2005	2001	2010	0.0	0.0	5	5	0.0	0.0	18566	2
2005	2001	2010	0.0	0.0	5	5	0.0	0.0	18804	2
2009	2005	2010	2.0	0.0	5	1	0.0	0.4	7	7
1982	1978	1987	3.0	3.0	5	5	0.6	0.6	2629	7
1987	1983	1992	2.0	0.0	5	5	0.0	0.4	12593	7
1977	1973	1982	1.0	2.0	5	5	0.4	0.2	17452	7
2009	2005	2010	2.0	0.0	5	1	0.0	0.4	19731	7
1990	1986	1994	0.0	2.0	5	4	0.5	0.0	17248	7
1991	1987	1996	0.0	1.0	5	5	0.2	0.0	17279	7
1991	1987	1993	0.0	2.0	5	2	1.0	0.0	19077	7
2009	2005	2010	0.0	0.0	5	1	0.0	0.0	6005	7
1969	1968	1974	0.0	0.0	2	5	0.0	0.0	9774	7
2009	2005	2010	0.0	0.0	5	1	0.0	0.0	14169	7
1973	1969	1978	0.0	0.0	5	5	0.0	0.0	15600	7
2004	2000	2009	5.0	3.0	5	5	0.6	1.0	8	8
2006	2002	2011	3.0	0.0	5	5	0.0	0.6	162	8
2004	2000	2005	1.0	0.0	5	1	0.0	0.2	391	8
2011	2007	2014	1.0	0.0	5	3	0.0	0.2	501	8
2011	2007	2016	1.0	0.0	5	5	0.0	0.2	810	8
1973	1969	1978	2.0	1.0	5	5	0.2	0.4	1013	8
1986	1982	1991	2.0	0.0	5	5	0.0	0.4	1118	8
2005	2001	2010	3.0	1.0	5	5	0.2	0.6	1204	8
2007	2003	2011	3.0	2.0	5	4	0.5	0.6	1554	8
1972	1968	1977	1.0	1.0	5	5	0.2	0.2	1669	8
1981	1977	1986	1.0	0.0	5	5	0.0	0.2	1670	8
1987	1983	1992	2.0	2.0	5	5	0.4	0.4	2034	8
1987	1983	1992	1.0	0.0	5	5	0.0	0.2	2323	8
1981	1977	1986	2.0	2.0	5	5	0.4	0.4	2723	8
2006	2002	2010	1.0	0.0	5	4	0.0	0.2	2850	8
2009	2005	2012	2.0	3.0	5	3	1.0	0.4	2878	8
2004	2000	2009	1.0	0.0	5	5	0.0	0.2	3344	8
2009	2005	2014	1.0	1.0	5	5	0.2	0.2	3774	8
2005	2003	2010	2.0	0.0	3	5	0.0	0.6666666666666666	4154	8
2007	2003	2011	1.0	2.0	5	4	0.5	0.2	4277	8
2004	2000	2009	2.0	2.0	5	5	0.4	0.4	4305	8
2004	2000	2009	2.0	2.0	5	5	0.4	0.4	4369	8
1981	1977	1986	1.0	1.0	5	5	0.2	0.2	4549	8
2004	2000	2009	2.0	3.0	5	5	0.6	0.4	4870	8
1973	1969	1978	3.0	7.0	5	5	1.4	0.6	5050	8
2009	2005	2012	1.0	1.0	5	3	0.3333333333333333	0.2	5390	8
2007	2003	2012	1.0	1.0	5	5	0.2	0.2	5674	8
1981	1977	1986	2.0	1.0	5	5	0.2	0.4	5848	8
1972	1968	1977	1.0	2.0	5	5	0.4	0.2	5906	8
2008	2004	2013	1.0	1.0	5	5	0.2	0.2	6115	8
2004	2000	2009	3.0	1.0	5	5	0.2	0.6	6367	8
1981	1977	1986	3.0	0.0	5	5	0.0	0.6	6659	8
2006	2002	2011	1.0	1.0	5	5	0.2	0.2	6806	8
2004	2000	2009	2.0	1.0	5	5	0.2	0.4	6974	8
2006	2002	2010	2.0	1.0	5	4	0.25	0.4	7117	8
2009	2005	2014	2.0	0.0	5	5	0.0	0.4	7212	8
2011	2007	2016	1.0	0.0	5	5	0.0	0.2	7382	8
2011	2007	2016	1.0	0.0	5	5	0.0	0.2	8088	8
1987	1983	1992	1.0	1.0	5	5	0.2	0.2	8143	8
1973	1972	1978	1.0	1.0	2	5	0.2	0.5	8722	8
2004	2000	2009	7.0	0.0	5	5	0.0	1.4	9230	8
1973	1969	1978	1.0	1.0	5	5	0.2	0.2	9276	8
2004	2000	2009	1.0	1.0	5	5	0.2	0.2	9699	8
2004	2000	2009	4.0	0.0	5	5	0.0	0.8	11089	8
2004	2000	2006	2.0	0.0	5	2	0.0	0.4	11148	8
2012	2008	2017	1.0	1.0	5	5	0.2	0.2	12154	8
1981	1977	1986	0.0	1.0	5	5	0.2	0.0	12757	8
1987	1983	1992	1.0	1.0	5	5	0.2	0.2	13008	8
2004	2000	2005	1.0	0.0	5	1	0.0	0.2	14185	8
1981	1977	1986	3.0	1.0	5	5	0.2	0.6	14495	8
2004	2000	2009	1.0	2.0	5	5	0.4	0.2	14631	8
1981	1977	1986	3.0	2.0	5	5	0.4	0.6	15020	8
1972	1968	1977	1.0	1.0	5	5	0.2	0.2	15208	8
2004	2000	2009	2.0	1.0	5	5	0.2	0.4	15349	8
2004	2000	2005	1.0	0.0	5	1	0.0	0.2	16898	8
1983	1979	1988	3.0	2.0	5	5	0.4	0.6	17240	8
1992	1988	1997	1.0	0.0	5	5	0.0	0.2	17844	8
1981	1977	1986	1.0	2.0	5	5	0.4	0.2	18420	8
1987	1985	1992	3.0	1.0	3	5	0.2	1.0	18654	8
1971	1967	1976	0.0	5.0	5	5	1.0	0.0	3011	8
1971	1967	1976	0.0	2.0	5	5	0.4	0.0	8667	8
2009	2005	2014	0.0	1.0	5	5	0.2	0.0	9199	8
1971	1970	1976	0.0	0.0	2	5	0.0	0.0	9557	8
1987	1983	1992	0.0	1.0	5	5	0.2	0.0	10491	8
1971	1967	1976	0.0	2.0	5	5	0.4	0.0	10924	8
1971	1967	1976	0.0	1.0	5	5	0.2	0.0	12361	8
2006	2002	2010	0.0	2.0	5	4	0.5	0.0	14774	8
1972	1968	1977	0.0	1.0	5	5	0.2	0.0	18351	8
1987	1983	1992	0.0	0.0	5	5	0.0	0.0	2593	8
2013	2009	2015	0.0	0.0	5	2	0.0	0.0	3209	8
2004	2000	2009	0.0	0.0	5	5	0.0	0.0	5659	8
1972	1968	1977	0.0	0.0	5	5	0.0	0.0	6105	8
2009	2005	2011	0.0	0.0	5	2	0.0	0.0	8213	8
2004	2000	2007	0.0	0.0	5	3	0.0	0.0	10174	8
1972	1968	1977	0.0	0.0	5	5	0.0	0.0	14162	8
2007	2003	2012	1.0	0.0	5	5	0.0	0.2	12	12
2007	2003	2012	4.0	0.0	5	5	0.0	0.8	2006	12
2007	2003	2012	1.0	1.0	5	5	0.2	0.2	2867	12
2007	2003	2012	1.0	0.0	5	5	0.0	0.2	5821	12
2007	2003	2012	2.0	0.0	5	5	0.0	0.4	6733	12
2007	2003	2012	1.0	0.0	5	5	0.0	0.2	7032	12
2007	2003	2012	2.0	1.0	5	5	0.2	0.4	7183	12
2007	2003	2010	3.0	1.0	5	3	0.3333333333333333	0.6	10131	12
2007	2003	2010	1.0	0.0	5	3	0.0	0.2	14365	12
2007	2003	2012	2.0	1.0	5	5	0.2	0.4	17239	12
2007	2003	2012	4.0	0.0	5	5	0.0	0.8	17991	12
2007	2003	2012	1.0	1.0	5	5	0.2	0.2	18427	12
2007	2003	2012	1.0	0.0	5	5	0.0	0.2	18433	12
2007	2003	2010	1.0	0.0	5	3	0.0	0.2	18629	12
2007	2003	2010	0.0	1.0	5	3	0.3333333333333333	0.0	7386	12
2007	2003	2012	0.0	1.0	5	5	0.2	0.0	19276	12
2007	2003	2012	0.0	0.0	5	5	0.0	0.0	344	12
2007	2003	2012	0.0	0.0	5	5	0.0	0.0	6407	12
2007	2003	2010	0.0	0.0	5	3	0.0	0.0	16135	12
2007	2003	2010	0.0	0.0	5	3	0.0	0.0	18074	12
2007	2003	2010	0.0	0.0	5	3	0.0	0.0	18703	12
2007	2003	2012	0.0	0.0	5	5	0.0	0.0	19067	12
2007	2003	2012	0.0	0.0	5	5	0.0	0.0	19470	12
2005	2001	2010	3.0	1.0	5	5	0.2	0.6	14	14
2007	2003	2011	1.0	0.0	5	4	0.0	0.2	296	14
2005	2001	2010	2.0	2.0	5	5	0.4	0.4	641	14
2007	2003	2011	0.0	0.0	5	4	0.0	0.0	725	14
2007	2003	2011	5.0	6.0	5	4	1.5	1.0	883	14
2007	2003	2011	2.0	2.0	5	4	0.5	0.4	938	14
2007	2003	2009	0.0	0.0	5	2	0.0	0.0	1340	14
2007	2003	2011	1.0	0.0	5	4	0.0	0.2	1798	14
2008	2004	2011	1.0	1.0	5	3	0.3333333333333333	0.2	1964	14
2009	2005	2011	2.0	2.0	5	2	1.0	0.4	2142	14
2007	2003	2011	1.0	1.0	5	4	0.25	0.2	2214	14
2007	2003	2011	2.0	0.0	5	4	0.0	0.4	2298	14
2007	2003	2011	2.0	2.0	5	4	0.5	0.4	2660	14
2007	2003	2010	1.0	0.0	5	3	0.0	0.2	2912	14
2007	2003	2011	1.0	3.0	5	4	0.75	0.2	2934	14
2007	2003	2011	1.0	3.0	5	4	0.75	0.2	3345	14
2008	2004	2011	2.0	1.0	5	3	0.3333333333333333	0.4	4393	14
2005	2001	2010	3.0	11.0	5	5	2.2	0.6	5969	14
2007	2003	2011	1.0	0.0	5	4	0.0	0.2	7944	14
2007	2003	2011	2.0	1.0	5	4	0.25	0.4	8156	14
2007	2003	2011	1.0	0.0	5	4	0.0	0.2	8375	14
2007	2003	2011	1.0	0.0	5	4	0.0	0.2	8581	14
2007	2003	2011	2.0	3.0	5	4	0.75	0.4	8619	14
2007	2003	2011	2.0	4.0	5	4	1.0	0.4	8633	14
2007	2003	2011	2.0	5.0	5	4	1.25	0.4	8774	14
2007	2003	2011	1.0	0.0	5	4	0.0	0.2	8801	14
2007	2003	2011	1.0	2.0	5	4	0.5	0.2	9037	14
2007	2003	2011	1.0	2.0	5	4	0.5	0.2	9649	14
2007	2003	2011	1.0	0.0	5	4	0.0	0.2	10040	14
2007	2003	2011	1.0	0.0	5	4	0.0	0.2	11030	14
2005	2001	2010	1.0	1.0	5	5	0.2	0.2	11662	14
2007	2003	2011	3.0	2.0	5	4	0.5	0.6	12581	14
2005	2001	2010	2.0	6.0	5	5	1.2	0.4	12617	14
2007	2003	2011	3.0	0.0	5	4	0.0	0.6	13011	14
2007	2003	2011	2.0	0.0	5	4	0.0	0.4	19730	14
2007	2003	2011	0.0	2.0	5	4	0.5	0.0	258	14
2007	2003	2011	0.0	1.0	5	4	0.25	0.0	826	14
2007	2003	2011	0.0	1.0	5	4	0.25	0.0	2732	14
2007	2003	2011	0.0	1.0	5	4	0.25	0.0	3086	14
2007	2004	2011	0.0	2.0	4	4	0.5	0.0	4210	14
2007	2003	2011	0.0	0.0	5	4	0.0	0.0	4402	14
2009	2005	2011	0.0	1.0	5	2	0.5	0.0	6346	14
2007	2003	2011	0.0	0.0	5	4	0.0	0.0	9236	14
2007	2003	2011	0.0	1.0	5	4	0.25	0.0	9620	14
1993	1989	1998	0.0	1.0	5	5	0.2	0.0	13350	14
2007	2003	2011	0.0	0.0	5	4	0.0	0.0	572	14
2007	2003	2011	0.0	0.0	5	4	0.0	0.0	1396	14
2007	2003	2009	0.0	0.0	5	2	0.0	0.0	1499	14
2008	2004	2010	0.0	0.0	5	2	0.0	0.0	1754	14
2007	2003	2011	0.0	0.0	5	4	0.0	0.0	1966	14
2007	2003	2011	0.0	0.0	5	4	0.0	0.0	3417	14
2007	2003	2011	0.0	0.0	5	4	0.0	0.0	4400	14
2007	2003	2011	0.0	0.0	5	4	0.0	0.0	7289	14
2007	2003	2011	0.0	0.0	5	4	0.0	0.0	7869	14
2007	2003	2008	0.0	0.0	5	1	0.0	0.0	8206	14
2009	2005	2011	0.0	0.0	5	2	0.0	0.0	9159	14
2007	2003	2011	0.0	0.0	5	4	0.0	0.0	9320	14
2005	2001	2010	0.0	0.0	5	5	0.0	0.0	12888	14
2007	2003	2011	0.0	0.0	5	4	0.0	0.0	13163	14
2008	2004	2011	0.0	0.0	5	3	0.0	0.0	13672	14
2007	2003	2011	0.0	0.0	5	4	0.0	0.0	13906	14
2007	2003	2011	0.0	0.0	5	4	0.0	0.0	14582	14
2007	2003	2010	0.0	0.0	5	3	0.0	0.0	17979	14
2008	2004	2011	0.0	0.0	5	3	0.0	0.0	18389	14
2007	2003	2011	0.0	0.0	5	4	0.0	0.0	18435	14
1996	1992	1998	0.0	0.0	5	2	0.0	0.0	19222	14
1993	1989	1998	3.0	5.0	5	5	1.0	0.6	21	21
1993	1989	1997	3.0	0.0	5	4	0.0	0.6	3972	21
1993	1989	1995	2.0	0.0	5	2	0.0	0.4	3992	21
2006	2002	2011	1.0	1.0	5	5	0.2	0.2	7280	21
1993	1989	1998	6.0	2.0	5	5	0.4	1.2	9419	21
1993	1989	1995	2.0	0.0	5	2	0.0	0.4	10831	21
2004	2000	2009	4.0	1.0	5	5	0.2	0.8	12141	21
1993	1989	1998	1.0	0.0	5	5	0.0	0.2	12278	21
1993	1989	1995	1.0	0.0	5	2	0.0	0.2	12338	21
1993	1989	1998	3.0	1.0	5	5	0.2	0.6	12594	21
1993	1989	1998	4.0	0.0	5	5	0.0	0.8	13488	21
1993	1989	1995	0.0	0.0	5	2	0.0	0.0	15246	21
2004	2000	2009	1.0	1.0	5	5	0.2	0.2	15660	21
1993	1989	1994	2.0	1.0	5	1	1.0	0.4	16197	21
1995	1991	2000	4.0	7.0	5	5	1.4	0.8	18652	21
1993	1989	1998	0.0	1.0	5	5	0.2	0.0	19105	21
1995	1991	2000	2.0	4.0	5	5	0.8	0.4	19738	21
1995	1991	1998	0.0	1.0	5	3	0.3333333333333333	0.0	2270	21
1988	1984	1993	0.0	1.0	5	5	0.2	0.0	3352	21
1993	1989	1998	0.0	1.0	5	5	0.2	0.0	4953	21
2010	2006	2015	0.0	3.0	5	5	0.6	0.0	11203	21
1993	1989	1998	0.0	2.0	5	5	0.4	0.0	12528	21
1993	1989	1998	0.0	0.0	5	5	0.0	0.0	2802	21
1993	1989	1998	0.0	0.0	5	5	0.0	0.0	6619	21
1993	1989	1998	0.0	0.0	5	5	0.0	0.0	8547	21
1994	1990	1995	0.0	0.0	5	1	0.0	0.0	8855	21
1993	1992	1998	0.0	0.0	2	5	0.0	0.0	9979	21
1988	1984	1993	0.0	0.0	5	5	0.0	0.0	10710	21
1993	1989	1998	0.0	0.0	5	5	0.0	0.0	11140	21
1993	1989	1998	0.0	0.0	5	5	0.0	0.0	11372	21
1993	1989	1995	0.0	0.0	5	2	0.0	0.0	16293	21
1993	1989	1998	0.0	0.0	5	5	0.0	0.0	17037	21
1993	1989	1998	0.0	0.0	5	5	0.0	0.0	19648	21
2007	2003	2012	3.0	6.0	5	5	1.2	0.6	44	44
2007	2003	2012	1.0	2.0	5	5	0.4	0.2	4419	44
2007	2003	2011	0.0	1.0	5	4	0.25	0.0	5070	44
2011	2007	2015	1.0	0.0	5	4	0.0	0.2	6160	44
2007	2003	2012	1.0	0.0	5	5	0.0	0.2	7581	44
2007	2003	2012	2.0	1.0	5	5	0.2	0.4	10940	44
2011	2007	2015	0.0	1.0	5	4	0.25	0.0	4271	44
2007	2003	2012	0.0	1.0	5	5	0.2	0.0	7095	44
2007	2003	2012	0.0	1.0	5	5	0.2	0.0	10642	44
2007	2003	2011	0.0	1.0	5	4	0.25	0.0	10982	44
2011	2007	2016	0.0	2.0	5	5	0.4	0.0	13351	44
2011	2007	2015	0.0	0.0	5	4	0.0	0.0	1119	44
2007	2003	2012	0.0	0.0	5	5	0.0	0.0	1248	44
2011	2007	2015	0.0	0.0	5	4	0.0	0.0	1640	44
2007	2003	2012	0.0	0.0	5	5	0.0	0.0	1887	44
2011	2007	2015	0.0	0.0	5	4	0.0	0.0	3013	44
2007	2003	2012	0.0	0.0	5	5	0.0	0.0	3370	44
2007	2003	2012	0.0	0.0	5	5	0.0	0.0	4188	44
2011	2007	2015	0.0	0.0	5	4	0.0	0.0	5320	44
2005	2001	2010	0.0	0.0	5	5	0.0	0.0	5742	44
2007	2003	2012	0.0	0.0	5	5	0.0	0.0	5951	44
2007	2003	2012	0.0	0.0	5	5	0.0	0.0	7290	44
2007	2003	2011	0.0	0.0	5	4	0.0	0.0	7770	44
2007	2003	2011	0.0	0.0	5	4	0.0	0.0	9252	44
2007	2003	2011	0.0	0.0	5	4	0.0	0.0	9563	44
2011	2007	2016	0.0	0.0	5	5	0.0	0.0	10356	44
2007	2003	2012	0.0	0.0	5	5	0.0	0.0	10547	44
2007	2003	2011	0.0	0.0	5	4	0.0	0.0	10605	44
2007	2003	2012	0.0	0.0	5	5	0.0	0.0	12484	44
2007	2003	2012	0.0	0.0	5	5	0.0	0.0	13765	44
2007	2003	2011	0.0	0.0	5	4	0.0	0.0	16965	44
2007	2003	2012	0.0	0.0	5	5	0.0	0.0	17315	44
2012	2008	2017	1.0	1.0	5	5	0.2	0.2	45	40
1995	1991	2000	4.0	5.0	5	5	1.0	0.8	80	40
2008	2004	2013	1.0	2.0	5	5	0.4	0.2	91	40
2006	2002	2011	4.0	0.0	5	5	0.0	0.8	131	40
1988	1984	1990	1.0	0.0	5	2	0.0	0.2	638	40
2012	2008	2017	2.0	0.0	5	5	0.0	0.4	979	40
1989	1985	1994	3.0	5.0	5	5	1.0	0.6	1043	40
2012	2008	2017	1.0	2.0	5	5	0.4	0.2	1078	40
2008	2004	2013	1.0	1.0	5	5	0.2	0.2	1114	40
1988	1984	1993	1.0	0.0	5	5	0.0	0.2	1194	40
1988	1984	1993	0.0	1.0	5	5	0.2	0.0	1380	40
1996	1992	2001	6.0	3.0	5	5	0.6	1.2	1636	40
2012	2008	2017	1.0	1.0	5	5	0.2	0.2	1749	40
1988	1984	1993	2.0	1.0	5	5	0.2	0.4	1987	40
2006	2002	2011	1.0	0.0	5	5	0.0	0.2	2375	40
1992	1988	1997	7.0	1.0	5	5	0.2	1.4	3154	40
2008	2004	2013	1.0	0.0	5	5	0.0	0.2	3369	40
1988	1984	1993	2.0	1.0	5	5	0.2	0.4	3526	40
1988	1984	1993	1.0	2.0	5	5	0.4	0.2	3792	40
1993	1989	1998	2.0	1.0	5	5	0.2	0.4	4946	40
2012	2008	2017	4.0	3.0	5	5	0.6	0.8	5104	40
1988	1984	1993	2.0	2.0	5	5	0.4	0.4	5957	40
2012	2008	2017	1.0	0.0	5	5	0.0	0.2	6189	40
1992	1988	1997	4.0	4.0	5	5	0.8	0.8	6269	40
2012	2008	2017	1.0	0.0	5	5	0.0	0.2	6632	40
2006	2002	2011	5.0	1.0	5	5	0.2	1.0	7656	40
2012	2008	2017	2.0	5.0	5	5	1.0	0.4	7748	40
1988	1984	1993	5.0	3.0	5	5	0.6	1.0	7785	40
2012	2008	2017	1.0	0.0	5	5	0.0	0.2	7840	40
2006	2002	2011	1.0	0.0	5	5	0.0	0.2	7978	40
2012	2008	2017	0.0	0.0	5	5	0.0	0.0	8047	40
1985	1981	1990	1.0	3.0	5	5	0.6	0.2	8907	40
1993	1989	1998	2.0	1.0	5	5	0.2	0.4	8960	40
2006	2002	2011	1.0	0.0	5	5	0.0	0.2	9917	40
2008	2004	2013	4.0	0.0	5	5	0.0	0.8	10230	40
2004	2000	2009	4.0	1.0	5	5	0.2	0.8	10546	40
1985	1981	1990	1.0	1.0	5	5	0.2	0.2	10617	40
2012	2008	2017	1.0	0.0	5	5	0.0	0.2	10722	40
1998	1994	2003	1.0	0.0	5	5	0.0	0.2	10885	40
1985	1981	1990	1.0	0.0	5	5	0.0	0.2	11987	40
2006	2002	2011	1.0	1.0	5	5	0.2	0.2	12318	40
1979	1975	1983	1.0	0.0	5	4	0.0	0.2	12906	40
1970	1966	1975	1.0	0.0	5	5	0.0	0.2	13319	40
1972	1968	1977	2.0	2.0	5	5	0.4	0.4	14716	40
2008	2004	2013	4.0	1.0	5	5	0.2	0.8	14806	40
1993	1989	1998	1.0	0.0	5	5	0.0	0.2	16217	40
1988	1984	1993	2.0	4.0	5	5	0.8	0.4	16350	40
1988	1984	1993	1.0	0.0	5	5	0.0	0.2	17435	40
1996	1992	2001	3.0	0.0	5	5	0.0	0.6	17707	40
2012	2008	2017	1.0	0.0	5	5	0.0	0.2	18064	40
2008	2004	2013	2.0	0.0	5	5	0.0	0.4	18397	40
2008	2004	2013	1.0	3.0	5	5	0.6	0.2	18524	40
1988	1984	1993	3.0	1.0	5	5	0.2	0.6	18630	40
1988	1984	1993	1.0	7.0	5	5	1.4	0.2	18840	40
2012	2008	2017	5.0	1.0	5	5	0.2	1.0	19473	40
2008	2004	2013	0.0	1.0	5	5	0.2	0.0	654	40
2003	1999	2008	0.0	1.0	5	5	0.2	0.0	1378	40
1996	1992	2001	0.0	1.0	5	5	0.2	0.0	1558	40
1996	1992	2001	0.0	1.0	5	5	0.2	0.0	1692	40
1996	1992	2001	0.0	1.0	5	5	0.2	0.0	3014	40
2004	2000	2009	0.0	3.0	5	5	0.6	0.0	4363	40
2006	2002	2011	0.0	1.0	5	5	0.2	0.0	8119	40
1996	1992	2001	0.0	1.0	5	5	0.2	0.0	8244	40
1988	1984	1993	0.0	3.0	5	5	0.6	0.0	8370	40
2012	2008	2017	0.0	1.0	5	5	0.2	0.0	9197	40
1988	1984	1993	0.0	2.0	5	5	0.4	0.0	13371	40
1988	1984	1993	0.0	1.0	5	5	0.2	0.0	15282	40
1988	1984	1993	0.0	2.0	5	5	0.4	0.0	15766	40
1988	1984	1993	0.0	1.0	5	5	0.2	0.0	16707	40
2008	2004	2013	0.0	2.0	5	5	0.4	0.0	18715	40
2008	2004	2013	0.0	2.0	5	5	0.4	0.0	18745	40
2005	2001	2009	0.0	0.0	5	4	0.0	0.0	217	40
2012	2008	2017	0.0	0.0	5	5	0.0	0.0	951	40
1996	1992	2001	0.0	0.0	5	5	0.0	0.0	955	40
1988	1984	1992	0.0	0.0	5	4	0.0	0.0	1031	40
2012	2008	2017	0.0	0.0	5	5	0.0	0.0	1199	40
2008	2004	2013	0.0	0.0	5	5	0.0	0.0	1266	40
1988	1984	1993	0.0	0.0	5	5	0.0	0.0	1310	40
2012	2008	2017	0.0	0.0	5	5	0.0	0.0	2862	40
2012	2008	2017	0.0	0.0	5	5	0.0	0.0	3387	40
2006	2002	2011	0.0	0.0	5	5	0.0	0.0	4723	40
2006	2002	2011	0.0	0.0	5	5	0.0	0.0	4876	40
2004	2000	2006	0.0	0.0	5	2	0.0	0.0	5923	40
2004	2000	2009	0.0	0.0	5	5	0.0	0.0	6485	40
2008	2004	2013	0.0	0.0	5	5	0.0	0.0	7046	40
2006	2002	2011	0.0	0.0	5	5	0.0	0.0	7193	40
2012	2008	2017	0.0	0.0	5	5	0.0	0.0	7725	40
2012	2008	2017	0.0	0.0	5	5	0.0	0.0	9046	40
1996	1992	1999	0.0	0.0	5	3	0.0	0.0	9451	40
2012	2008	2017	0.0	0.0	5	5	0.0	0.0	11994	40
1988	1984	1993	0.0	0.0	5	5	0.0	0.0	12354	40
2006	2002	2011	0.0	0.0	5	5	0.0	0.0	13525	40
1992	1988	1997	0.0	0.0	5	5	0.0	0.0	16287	40
2008	2004	2011	0.0	0.0	5	3	0.0	0.0	18032	40
2008	2004	2013	0.0	0.0	5	5	0.0	0.0	19464	40
2010	2006	2015	1.0	8.0	5	5	1.6	0.2	46	3
2013	2009	2018	2.0	0.0	5	5	0.0	0.4	834	3
2003	1999	2007	5.0	2.0	5	4	0.5	1.0	1339	3
2006	2002	2011	1.0	1.0	5	5	0.2	0.2	1727	3
2007	2003	2010	2.0	0.0	5	3	0.0	0.4	1939	3
2007	2003	2012	1.0	0.0	5	5	0.0	0.2	1958	3
2006	2006	2011	1.0	1.0	1	5	0.2	1.0	1997	3
1967	1963	1970	4.0	0.0	5	3	0.0	0.8	2346	3
2009	2005	2014	2.0	0.0	5	5	0.0	0.4	2635	3
2010	2006	2015	1.0	0.0	5	5	0.0	0.2	2914	3
2006	2002	2008	1.0	0.0	5	2	0.0	0.2	2936	3
2010	2006	2014	6.0	3.0	5	4	0.75	1.2	3000	3
2009	2009	2014	1.0	0.0	1	5	0.0	1.0	3502	3
2006	2002	2011	1.0	1.0	5	5	0.2	0.2	3635	3
2012	2009	2017	3.0	2.0	4	5	0.4	0.75	4237	3
2010	2006	2014	1.0	0.0	5	4	0.0	0.2	4368	3
2007	2003	2008	2.0	0.0	5	1	0.0	0.4	4517	3
2006	2002	2011	1.0	1.0	5	5	0.2	0.2	4538	3
2007	2003	2008	1.0	0.0	5	1	0.0	0.2	4649	3
2010	2006	2012	1.0	0.0	5	2	0.0	0.2	5208	3
2009	2005	2014	0.0	2.0	5	5	0.4	0.0	6021	3
2006	2002	2008	1.0	0.0	5	2	0.0	0.2	6031	3
2006	2002	2011	3.0	1.0	5	5	0.2	0.6	6041	3
2010	2006	2015	1.0	0.0	5	5	0.0	0.2	6461	3
2010	2006	2014	2.0	1.0	5	4	0.25	0.4	6669	3
2006	2002	2011	1.0	4.0	5	5	0.8	0.2	6748	3
2008	2004	2011	1.0	0.0	5	3	0.0	0.2	7118	3
2006	2002	2011	1.0	2.0	5	5	0.4	0.2	7129	3
2012	2010	2017	1.0	1.0	3	5	0.2	0.3333333333333333	7310	3
1979	1975	1983	6.0	5.0	5	4	1.25	1.2	7504	3
2008	2004	2013	1.0	0.0	5	5	0.0	0.2	7788	3
2010	2006	2015	1.0	0.0	5	5	0.0	0.2	8847	3
2006	2002	2011	1.0	0.0	5	5	0.0	0.2	9343	3
1983	1979	1986	1.0	4.0	5	3	1.3333333333333333	0.2	11111	3
2010	2006	2015	4.0	7.0	5	5	1.4	0.8	12488	3
