Discipline	Parent	Year0	APriorPaperCount	APriorCitationCount	AHindex	ATop	AColabCount
Biology	86803240	1980	1	1.0	1.0	0	2
Biology	86803240	1980	1	2.0	1.0	0	2
Biology	86803240	1980	1	3.0	1.0	0	2
Biology	86803240	1980	2	4.0	1.0	0	4
Biology	86803240	1980	3	5.0	1.0	0	5
Biology	86803240	1980	8	9.0	1.0	0	9
Biology	86803240	1980	9	10.0	2.0	0	10
Biology	86803240	1980	10	28.0	2.0	0	12
Biology	86803240	1980	12	32.0	3.0	1	15
Biology	86803240	1980	14	83.0	5.0	1	21
Biology	86803240	1980	21	232.0	8.0	1	21
Biology	86803240	1980	28	272.0	8.0	1	23
Biology	86803240	1980	38	452.0	10.0	1	23
Biology	86803240	1981	1	0.0	0.0	0	2
Biology	86803240	1981	1	1.0	1.0	0	4
Biology	86803240	1981	1	2.0	1.0	0	4
Biology	86803240	1981	3	4.0	1.0	0	5
Biology	86803240	1981	5	8.0	1.0	0	5
Biology	86803240	1981	6	26.0	1.0	0	6
Biology	86803240	1981	7	26.0	3.0	1	11
Biology	86803240	1981	9	67.0	3.0	1	12
Biology	86803240	1981	11	131.0	4.0	1	14
Biology	86803240	1981	16	148.0	5.0	1	22
Biology	86803240	1981	29	154.0	7.0	1	30
Biology	86803240	1982	1	0.0	0.0	0	2
Biology	86803240	1982	2	16.0	1.0	0	3
Biology	86803240	1982	2	17.0	1.0	0	4
Biology	86803240	1982	2	23.0	2.0	0	4
Biology	86803240	1982	3	24.0	2.0	0	6
Biology	86803240	1982	6	26.0	2.0	0	7
Biology	86803240	1982	7	43.0	3.0	0	8
Biology	86803240	1982	8	49.0	4.0	0	8
Biology	86803240	1982	9	50.0	4.0	0	13
Biology	86803240	1982	13	52.0	4.0	0	17
Biology	86803240	1982	15	65.0	4.0	1	19
Biology	86803240	1982	19	86.0	5.0	1	22
Biology	86803240	1982	22	134.0	5.0	1	31
Biology	86803240	1982	25	143.0	7.0	1	42
Biology	86803240	1983	1	0.0	0.0	0	1
Biology	86803240	1983	1	0.0	0.0	0	1
Biology	86803240	1983	1	0.0	0.0	0	2
Biology	86803240	1983	1	1.0	1.0	0	2
Biology	86803240	1983	1	1.0	1.0	0	2
Biology	86803240	1983	1	2.0	1.0	0	2
Biology	86803240	1983	1	2.0	1.0	0	2
Biology	86803240	1983	1	3.0	1.0	0	2
Biology	86803240	1983	1	3.0	1.0	0	2
Biology	86803240	1983	2	4.0	1.0	0	3
Biology	86803240	1983	2	6.0	1.0	0	3
Biology	86803240	1983	3	7.0	1.0	0	3
Biology	86803240	1983	3	9.0	1.0	0	4
Biology	86803240	1983	4	10.0	1.0	0	4
Biology	86803240	1983	4	10.0	1.0	0	4
Biology	86803240	1983	4	11.0	1.0	0	5
Biology	86803240	1983	4	13.0	1.0	0	5
Biology	86803240	1983	4	15.0	2.0	0	5
Biology	86803240	1983	4	16.0	2.0	0	6
Biology	86803240	1983	4	17.0	2.0	1	7
Biology	86803240	1983	5	21.0	2.0	1	7
Biology	86803240	1983	5	21.0	2.0	1	7
Biology	86803240	1983	6	24.0	2.0	1	9
Biology	86803240	1983	7	28.0	3.0	1	12
Biology	86803240	1983	9	50.0	4.0	1	12
Biology	86803240	1983	10	73.0	4.0	1	23
Biology	86803240	1983	10	87.0	4.0	1	25
Biology	86803240	1983	14	98.0	5.0	1	35
Biology	86803240	1983	19	108.0	6.0	1	57
Biology	86803240	1983	64	318.0	9.0	1	73
Biology	86803240	1983	72	1072.0	17.0	1	652
Biology	86803240	1984	1	0.0	0.0	0	1
Biology	86803240	1984	1	5.0	1.0	0	1
Biology	86803240	1984	1	6.0	1.0	0	2
Biology	86803240	1984	3	14.0	2.0	0	2
Biology	86803240	1984	4	16.0	2.0	0	3
Biology	86803240	1984	5	16.0	2.0	0	5
Biology	86803240	1984	5	17.0	3.0	0	9
Biology	86803240	1984	6	21.0	3.0	1	9
Biology	86803240	1984	6	24.0	3.0	1	11
Biology	86803240	1984	13	43.0	4.0	1	15
Biology	86803240	1984	13	49.0	5.0	1	15
Biology	86803240	1984	15	164.0	6.0	1	37
Biology	86803240	1985	1	0.0	0.0	0	1
Biology	86803240	1985	1	0.0	0.0	0	1
Biology	86803240	1985	1	0.0	0.0	0	1
Biology	86803240	1985	1	0.0	0.0	0	1
Biology	86803240	1985	1	1.0	1.0	0	2
Biology	86803240	1985	1	1.0	1.0	0	2
Biology	86803240	1985	1	1.0	1.0	0	3
Biology	86803240	1985	1	2.0	1.0	0	3
Biology	86803240	1985	1	2.0	1.0	0	4
Biology	86803240	1985	2	3.0	1.0	0	5
Biology	86803240	1985	2	6.0	1.0	0	5
Biology	86803240	1985	3	9.0	1.0	0	5
Biology	86803240	1985	3	16.0	1.0	0	5
Biology	86803240	1985	3	20.0	2.0	0	5
Biology	86803240	1985	4	22.0	2.0	0	5
Biology	86803240	1985	5	26.0	2.0	0	7
Biology	86803240	1985	6	32.0	3.0	0	9
Biology	86803240	1985	7	54.0	3.0	0	12
Biology	86803240	1985	14	67.0	4.0	1	13
Biology	86803240	1985	19	71.0	5.0	1	22
Biology	86803240	1985	24	122.0	5.0	1	25
Biology	86803240	1985	26	252.0	10.0	1	37
Biology	86803240	1985	33	303.0	10.0	1	49
Biology	86803240	1985	39	341.0	12.0	1	76
Biology	86803240	1985	75	988.0	19.0	1	248
Biology	86803240	1985	268	7639.0	47.0	1	1464
Biology	86803240	1986	1	0.0	0.0	0	1
Biology	86803240	1986	1	0.0	0.0	0	1
Biology	86803240	1986	1	0.0	0.0	0	1
Biology	86803240	1986	1	0.0	0.0	0	1
Biology	86803240	1986	1	0.0	0.0	0	2
Biology	86803240	1986	1	1.0	1.0	0	2
Biology	86803240	1986	1	3.0	1.0	0	2
Biology	86803240	1986	1	4.0	1.0	0	3
Biology	86803240	1986	1	4.0	1.0	0	3
Biology	86803240	1986	1	4.0	1.0	0	3
Biology	86803240	1986	1	4.0	1.0	0	3
Biology	86803240	1986	1	4.0	1.0	0	4
Biology	86803240	1986	1	7.0	1.0	0	4
Biology	86803240	1986	1	7.0	1.0	0	4
Biology	86803240	1986	3	8.0	1.0	0	4
Biology	86803240	1986	3	8.0	1.0	0	4
Biology	86803240	1986	3	9.0	1.0	0	4
Biology	86803240	1986	4	13.0	1.0	0	4
Biology	86803240	1986	4	14.0	1.0	0	4
Biology	86803240	1986	4	14.0	2.0	0	4
Biology	86803240	1986	4	17.0	2.0	0	4
Biology	86803240	1986	4	20.0	2.0	0	6
Biology	86803240	1986	5	32.0	2.0	0	8
Biology	86803240	1986	5	33.0	3.0	0	10
Biology	86803240	1986	6	36.0	3.0	0	11
Biology	86803240	1986	8	44.0	3.0	0	13
Biology	86803240	1986	8	51.0	4.0	0	17
Biology	86803240	1986	9	61.0	4.0	1	17
Biology	86803240	1986	12	97.0	4.0	1	20
Biology	86803240	1986	12	99.0	5.0	1	22
Biology	86803240	1986	16	101.0	6.0	1	25
Biology	86803240	1986	21	147.0	6.0	1	38
Biology	86803240	1986	25	174.0	7.0	1	43
Biology	86803240	1986	47	176.0	8.0	1	47
Biology	86803240	1986	52	268.0	9.0	1	59
Biology	86803240	1986	178	1163.0	19.0	1	366
Biology	86803240	1987	1	0.0	0.0	0	1
Biology	86803240	1987	1	0.0	0.0	0	1
Biology	86803240	1987	1	0.0	0.0	0	1
Biology	86803240	1987	1	0.0	0.0	0	1
Biology	86803240	1987	1	0.0	0.0	0	1
Biology	86803240	1987	1	0.0	0.0	0	2
Biology	86803240	1987	1	1.0	1.0	0	2
Biology	86803240	1987	1	1.0	1.0	0	2
Biology	86803240	1987	1	1.0	1.0	0	2
Biology	86803240	1987	1	1.0	1.0	0	2
Biology	86803240	1987	1	4.0	1.0	0	2
Biology	86803240	1987	1	6.0	1.0	0	2
Biology	86803240	1987	1	6.0	1.0	0	2
Biology	86803240	1987	1	7.0	1.0	0	2
Biology	86803240	1987	2	10.0	1.0	0	3
Biology	86803240	1987	2	11.0	1.0	0	4
Biology	86803240	1987	2	12.0	1.0	0	4
Biology	86803240	1987	2	12.0	1.0	0	4
Biology	86803240	1987	2	15.0	1.0	0	4
Biology	86803240	1987	2	17.0	2.0	0	5
Biology	86803240	1987	3	19.0	2.0	0	5
Biology	86803240	1987	4	20.0	2.0	0	5
Biology	86803240	1987	4	20.0	2.0	0	6
Biology	86803240	1987	4	23.0	2.0	0	6
Biology	86803240	1987	4	24.0	2.0	0	6
Biology	86803240	1987	5	29.0	2.0	0	6
Biology	86803240	1987	5	35.0	2.0	1	7
Biology	86803240	1987	5	35.0	3.0	1	8
Biology	86803240	1987	5	37.0	3.0	1	9
Biology	86803240	1987	8	39.0	3.0	1	10
Biology	86803240	1987	9	55.0	3.0	1	10
Biology	86803240	1987	10	77.0	4.0	1	10
Biology	86803240	1987	10	89.0	4.0	1	11
Biology	86803240	1987	16	95.0	5.0	1	11
Biology	86803240	1987	26	119.0	6.0	1	13
Biology	86803240	1987	26	151.0	7.0	1	28
Biology	86803240	1987	29	299.0	7.0	1	29
Biology	86803240	1987	30	569.0	10.0	1	43
Biology	86803240	1987	31	722.0	14.0	1	67
Biology	86803240	1988	1	0.0	0.0	0	3
Biology	86803240	1988	1	0.0	0.0	0	3
Biology	86803240	1988	2	2.0	1.0	0	3
Biology	86803240	1988	2	6.0	1.0	0	3
Biology	86803240	1988	2	11.0	1.0	0	3
Biology	86803240	1988	2	11.0	1.0	0	4
Biology	86803240	1988	3	12.0	1.0	0	4
Biology	86803240	1988	3	13.0	1.0	0	4
Biology	86803240	1988	3	14.0	2.0	0	5
Biology	86803240	1988	4	18.0	2.0	0	6
Biology	86803240	1988	5	20.0	2.0	0	7
Biology	86803240	1988	7	30.0	3.0	0	7
Biology	86803240	1988	7	30.0	3.0	0	10
Biology	86803240	1988	11	41.0	3.0	0	11
Biology	86803240	1988	11	43.0	3.0	0	13
Biology	86803240	1988	14	58.0	4.0	0	16
Biology	86803240	1988	15	77.0	5.0	1	16
Biology	86803240	1988	16	232.0	8.0	1	18
Biology	86803240	1988	20	294.0	9.0	1	18
Biology	86803240	1988	53	516.0	13.0	1	25
Biology	86803240	1988	72	1765.0	25.0	1	70
Biology	86803240	1989	1	0.0	0.0	0	1
Biology	86803240	1989	1	0.0	0.0	0	2
Biology	86803240	1989	1	0.0	0.0	0	2
Biology	86803240	1989	1	0.0	0.0	0	2
Biology	86803240	1989	1	1.0	1.0	0	2
Biology	86803240	1989	1	2.0	1.0	0	2
Biology	86803240	1989	1	2.0	1.0	0	2
Biology	86803240	1989	1	2.0	1.0	0	2
Biology	86803240	1989	1	3.0	1.0	0	2
Biology	86803240	1989	1	3.0	1.0	0	3
Biology	86803240	1989	1	4.0	1.0	0	3
Biology	86803240	1989	1	4.0	1.0	0	3
Biology	86803240	1989	1	9.0	1.0	0	4
Biology	86803240	1989	1	9.0	1.0	0	4
Biology	86803240	1989	1	11.0	1.0	0	4
Biology	86803240	1989	2	11.0	1.0	0	4
Biology	86803240	1989	2	15.0	1.0	0	4
Biology	86803240	1989	2	16.0	1.0	0	4
Biology	86803240	1989	2	16.0	1.0	0	5
Biology	86803240	1989	2	17.0	1.0	0	5
Biology	86803240	1989	2	20.0	1.0	0	5
Biology	86803240	1989	3	20.0	1.0	0	5
Biology	86803240	1989	3	28.0	2.0	0	6
Biology	86803240	1989	4	35.0	3.0	0	6
Biology	86803240	1989	4	36.0	3.0	0	6
Biology	86803240	1989	6	44.0	3.0	0	7
Biology	86803240	1989	7	50.0	3.0	0	8
Biology	86803240	1989	10	52.0	3.0	0	8
Biology	86803240	1989	10	54.0	4.0	0	9
Biology	86803240	1989	13	55.0	4.0	0	10
Biology	86803240	1989	17	62.0	4.0	0	10
Biology	86803240	1989	18	134.0	5.0	0	14
Biology	86803240	1989	23	150.0	7.0	0	29
Biology	86803240	1989	27	220.0	7.0	1	41
Biology	86803240	1989	29	293.0	9.0	1	57
Biology	86803240	1989	39	338.0	11.0	1	83
Biology	86803240	1989	56	1121.0	14.0	1	257
Biology	86803240	1990	1	0.0	0.0	0	1
Biology	86803240	1990	1	0.0	0.0	0	1
Biology	86803240	1990	1	0.0	0.0	0	1
Biology	86803240	1990	1	0.0	0.0	0	1
Biology	86803240	1990	1	0.0	0.0	0	1
Biology	86803240	1990	1	0.0	0.0	0	2
Biology	86803240	1990	1	0.0	0.0	0	2
Biology	86803240	1990	1	1.0	1.0	0	2
Biology	86803240	1990	1	1.0	1.0	0	2
Biology	86803240	1990	1	2.0	1.0	0	2
Biology	86803240	1990	1	2.0	1.0	0	2
Biology	86803240	1990	1	2.0	1.0	0	2
Biology	86803240	1990	1	2.0	1.0	0	2
Biology	86803240	1990	1	2.0	1.0	0	3
Biology	86803240	1990	1	3.0	1.0	0	3
Biology	86803240	1990	1	3.0	1.0	0	3
Biology	86803240	1990	1	3.0	1.0	0	3
Biology	86803240	1990	1	3.0	1.0	0	3
Biology	86803240	1990	1	3.0	1.0	0	3
Biology	86803240	1990	1	3.0	1.0	0	3
Biology	86803240	1990	1	4.0	1.0	0	3
Biology	86803240	1990	1	4.0	1.0	0	3
Biology	86803240	1990	1	4.0	1.0	0	3
Biology	86803240	1990	1	4.0	1.0	0	3
Biology	86803240	1990	1	5.0	1.0	0	3
Biology	86803240	1990	1	6.0	1.0	0	4
Biology	86803240	1990	1	7.0	1.0	0	4
Biology	86803240	1990	1	8.0	1.0	0	4
Biology	86803240	1990	1	9.0	1.0	0	4
Biology	86803240	1990	2	10.0	1.0	0	4
Biology	86803240	1990	2	11.0	1.0	0	4
Biology	86803240	1990	2	11.0	1.0	0	4
Biology	86803240	1990	2	12.0	1.0	0	4
Biology	86803240	1990	2	12.0	1.0	0	4
Biology	86803240	1990	2	12.0	1.0	0	4
Biology	86803240	1990	2	14.0	2.0	0	5
Biology	86803240	1990	3	15.0	2.0	0	5
Biology	86803240	1990	3	18.0	2.0	0	5
Biology	86803240	1990	3	19.0	2.0	0	5
Biology	86803240	1990	3	21.0	2.0	0	6
Biology	86803240	1990	3	23.0	2.0	0	6
Biology	86803240	1990	3	26.0	2.0	0	6
Biology	86803240	1990	3	26.0	2.0	0	7
Biology	86803240	1990	4	27.0	2.0	0	7
Biology	86803240	1990	4	28.0	2.0	0	7
Biology	86803240	1990	5	37.0	2.0	0	8
Biology	86803240	1990	7	38.0	3.0	0	8
Biology	86803240	1990	9	51.0	3.0	0	8
Biology	86803240	1990	9	51.0	3.0	0	8
Biology	86803240	1990	10	59.0	3.0	0	10
Biology	86803240	1990	10	60.0	3.0	0	10
Biology	86803240	1990	10	62.0	3.0	0	17
Biology	86803240	1990	11	69.0	4.0	1	17
Biology	86803240	1990	11	75.0	4.0	1	17
Biology	86803240	1990	11	83.0	4.0	1	17
Biology	86803240	1990	11	92.0	4.0	1	19
Biology	86803240	1990	14	96.0	5.0	1	20
Biology	86803240	1990	14	96.0	5.0	1	21
Biology	86803240	1990	15	103.0	5.0	1	22
Biology	86803240	1990	15	121.0	5.0	1	22
Biology	86803240	1990	18	121.0	5.0	1	28
Biology	86803240	1990	20	124.0	6.0	1	30
Biology	86803240	1990	24	139.0	6.0	1	32
Biology	86803240	1990	26	142.0	6.0	1	37
Biology	86803240	1990	26	146.0	7.0	1	40
Biology	86803240	1990	29	163.0	8.0	1	43
Biology	86803240	1990	34	365.0	10.0	1	59
Biology	86803240	1990	43	399.0	11.0	1	67
Biology	86803240	1990	55	466.0	12.0	1	68
Biology	86803240	1990	92	676.0	12.0	1	95
Biology	86803240	1990	100	746.0	14.0	1	101
Biology	86803240	1990	124	1101.0	16.0	1	112
Biology	86803240	1990	155	1178.0	17.0	1	178
Biology	86803240	1991	1	0.0	0.0	0	1
Biology	86803240	1991	1	0.0	0.0	0	1
Biology	86803240	1991	1	0.0	0.0	0	1
Biology	86803240	1991	1	0.0	0.0	0	1
Biology	86803240	1991	1	0.0	0.0	0	2
Biology	86803240	1991	1	0.0	0.0	0	2
Biology	86803240	1991	1	0.0	0.0	0	2
Biology	86803240	1991	1	0.0	0.0	0	2
Biology	86803240	1991	1	0.0	0.0	0	2
Biology	86803240	1991	1	0.0	0.0	0	2
Biology	86803240	1991	1	0.0	0.0	0	2
Biology	86803240	1991	1	0.0	0.0	0	2
Biology	86803240	1991	1	1.0	1.0	0	3
Biology	86803240	1991	1	4.0	1.0	0	3
Biology	86803240	1991	1	4.0	1.0	0	3
Biology	86803240	1991	1	5.0	1.0	0	3
Biology	86803240	1991	1	5.0	1.0	0	3
Biology	86803240	1991	2	6.0	1.0	0	3
Biology	86803240	1991	2	7.0	1.0	0	3
Biology	86803240	1991	2	8.0	1.0	0	3
Biology	86803240	1991	2	8.0	1.0	0	4
Biology	86803240	1991	2	9.0	1.0	0	4
Biology	86803240	1991	2	9.0	1.0	0	4
Biology	86803240	1991	2	10.0	1.0	0	5
Biology	86803240	1991	3	11.0	1.0	0	5
Biology	86803240	1991	3	13.0	2.0	0	5
Biology	86803240	1991	3	14.0	2.0	0	5
Biology	86803240	1991	3	15.0	2.0	0	5
Biology	86803240	1991	3	17.0	2.0	0	5
Biology	86803240	1991	3	19.0	2.0	0	5
Biology	86803240	1991	3	19.0	2.0	0	6
Biology	86803240	1991	3	21.0	2.0	0	6
Biology	86803240	1991	3	21.0	2.0	0	6
Biology	86803240	1991	4	23.0	2.0	0	7
Biology	86803240	1991	4	28.0	2.0	0	7
Biology	86803240	1991	5	29.0	3.0	0	7
Biology	86803240	1991	6	29.0	3.0	0	8
Biology	86803240	1991	7	32.0	3.0	0	8
Biology	86803240	1991	7	35.0	3.0	0	8
Biology	86803240	1991	8	40.0	3.0	0	8
Biology	86803240	1991	8	46.0	3.0	0	8
Biology	86803240	1991	9	47.0	3.0	1	9
Biology	86803240	1991	10	52.0	3.0	1	10
Biology	86803240	1991	13	59.0	3.0	1	11
Biology	86803240	1991	16	62.0	3.0	1	16
Biology	86803240	1991	16	66.0	4.0	1	19
Biology	86803240	1991	19	76.0	4.0	1	23
Biology	86803240	1991	20	86.0	5.0	1	26
Biology	86803240	1991	21	101.0	6.0	1	27
Biology	86803240	1991	22	102.0	6.0	1	37
Biology	86803240	1991	28	111.0	6.0	1	39
Biology	86803240	1991	31	159.0	6.0	1	41
Biology	86803240	1991	34	204.0	8.0	1	53
Biology	86803240	1991	35	423.0	12.0	1	54
Biology	86803240	1991	46	529.0	12.0	1	56
Biology	86803240	1991	47	554.0	13.0	1	61
Biology	86803240	1991	61	640.0	14.0	1	71
Biology	86803240	1991	61	1032.0	16.0	1	95
Biology	86803240	1991	73	1585.0	21.0	1	113
Biology	86803240	1991	91	5072.0	28.0	1	165
Biology	86803240	1991	283	7460.0	43.0	1	469
Biology	86803240	1992	1	0.0	0.0	0	1
Biology	86803240	1992	1	0.0	0.0	0	2
Biology	86803240	1992	1	1.0	1.0	0	2
Biology	86803240	1992	1	1.0	1.0	0	2
Biology	86803240	1992	1	1.0	1.0	0	2
Biology	86803240	1992	1	1.0	1.0	0	2
Biology	86803240	1992	1	2.0	1.0	0	3
Biology	86803240	1992	1	2.0	1.0	0	3
Biology	86803240	1992	1	2.0	1.0	0	3
Biology	86803240	1992	1	3.0	1.0	0	3
Biology	86803240	1992	1	3.0	1.0	0	3
Biology	86803240	1992	2	3.0	1.0	0	3
Biology	86803240	1992	2	5.0	1.0	0	4
Biology	86803240	1992	2	6.0	1.0	0	4
Biology	86803240	1992	2	7.0	1.0	0	4
Biology	86803240	1992	2	8.0	1.0	0	5
Biology	86803240	1992	3	10.0	1.0	0	5
Biology	86803240	1992	3	13.0	2.0	0	6
Biology	86803240	1992	4	14.0	2.0	0	7
Biology	86803240	1992	4	22.0	2.0	0	9
Biology	86803240	1992	4	27.0	2.0	0	9
Biology	86803240	1992	5	30.0	2.0	0	10
Biology	86803240	1992	6	30.0	2.0	0	12
Biology	86803240	1992	6	33.0	3.0	0	14
Biology	86803240	1992	7	35.0	3.0	0	14
Biology	86803240	1992	8	36.0	3.0	0	14
Biology	86803240	1992	8	48.0	4.0	0	16
Biology	86803240	1992	9	55.0	4.0	0	22
Biology	86803240	1992	9	80.0	4.0	0	22
Biology	86803240	1992	10	86.0	4.0	0	23
Biology	86803240	1992	11	104.0	4.0	1	23
Biology	86803240	1992	11	109.0	6.0	1	23
Biology	86803240	1992	14	127.0	6.0	1	24
Biology	86803240	1992	17	160.0	6.0	1	24
Biology	86803240	1992	20	207.0	6.0	1	31
Biology	86803240	1992	21	211.0	7.0	1	32
Biology	86803240	1992	22	382.0	7.0	1	59
Biology	86803240	1992	23	388.0	11.0	1	96
Biology	86803240	1992	34	583.0	13.0	1	98
Biology	86803240	1992	35	776.0	13.0	1	99
Biology	86803240	1992	51	1116.0	14.0	1	132
Biology	86803240	1992	107	1269.0	15.0	1	149
Biology	86803240	1992	129	1779.0	15.0	1	527
Biology	86803240	1993	1	0.0	0.0	0	1
Biology	86803240	1993	1	0.0	0.0	0	1
Biology	86803240	1993	1	0.0	0.0	0	1
Biology	86803240	1993	1	0.0	0.0	0	1
Biology	86803240	1993	1	0.0	0.0	0	1
Biology	86803240	1993	1	0.0	0.0	0	1
Biology	86803240	1993	1	0.0	0.0	0	1
Biology	86803240	1993	1	0.0	0.0	0	1
Biology	86803240	1993	1	1.0	1.0	0	2
Biology	86803240	1993	1	1.0	1.0	0	2
Biology	86803240	1993	1	2.0	1.0	0	3
Biology	86803240	1993	1	3.0	1.0	0	3
Biology	86803240	1993	1	4.0	1.0	0	3
Biology	86803240	1993	1	5.0	1.0	0	3
Biology	86803240	1993	1	6.0	1.0	0	3
Biology	86803240	1993	1	11.0	1.0	0	3
Biology	86803240	1993	1	12.0	1.0	0	4
Biology	86803240	1993	1	12.0	1.0	0	4
Biology	86803240	1993	1	13.0	1.0	0	4
Biology	86803240	1993	1	14.0	1.0	0	4
Biology	86803240	1993	2	20.0	1.0	0	5
Biology	86803240	1993	2	21.0	1.0	0	5
Biology	86803240	1993	3	31.0	1.0	0	5
Biology	86803240	1993	3	33.0	1.0	0	5
Biology	86803240	1993	3	36.0	2.0	0	5
Biology	86803240	1993	4	39.0	2.0	0	6
Biology	86803240	1993	4	42.0	2.0	0	7
Biology	86803240	1993	4	44.0	2.0	0	8
Biology	86803240	1993	5	44.0	3.0	0	8
Biology	86803240	1993	5	45.0	3.0	0	8
Biology	86803240	1993	5	51.0	3.0	0	9
Biology	86803240	1993	6	56.0	3.0	0	9
Biology	86803240	1993	6	57.0	3.0	0	9
Biology	86803240	1993	10	66.0	4.0	0	10
Biology	86803240	1993	10	77.0	5.0	0	11
Biology	86803240	1993	11	77.0	5.0	1	12
Biology	86803240	1993	11	111.0	5.0	1	17
Biology	86803240	1993	12	119.0	5.0	1	17
Biology	86803240	1993	13	149.0	5.0	1	21
Biology	86803240	1993	14	156.0	5.0	1	26
Biology	86803240	1993	26	170.0	5.0	1	29
Biology	86803240	1993	28	172.0	7.0	1	29
Biology	86803240	1993	31	174.0	8.0	1	57
Biology	86803240	1993	54	274.0	9.0	1	66
Biology	86803240	1993	54	336.0	9.0	1	100
Biology	86803240	1993	68	342.0	10.0	1	230
Biology	86803240	1993	132	683.0	12.0	1	400
Biology	86803240	1994	1	0.0	0.0	0	1
Biology	86803240	1994	1	0.0	0.0	0	1
Biology	86803240	1994	1	0.0	0.0	0	1
Biology	86803240	1994	1	0.0	0.0	0	1
Biology	86803240	1994	1	0.0	0.0	0	1
Biology	86803240	1994	1	0.0	0.0	0	2
Biology	86803240	1994	1	0.0	0.0	0	2
Biology	86803240	1994	1	0.0	0.0	0	2
Biology	86803240	1994	1	0.0	0.0	0	2
Biology	86803240	1994	1	0.0	0.0	0	2
Biology	86803240	1994	1	0.0	0.0	0	2
Biology	86803240	1994	1	0.0	0.0	0	2
Biology	86803240	1994	1	1.0	1.0	0	2
Biology	86803240	1994	1	2.0	1.0	0	2
Biology	86803240	1994	1	3.0	1.0	0	2
Biology	86803240	1994	1	4.0	1.0	0	2
Biology	86803240	1994	1	5.0	1.0	0	2
Biology	86803240	1994	1	5.0	1.0	0	2
Biology	86803240	1994	2	5.0	1.0	0	2
Biology	86803240	1994	2	5.0	1.0	0	2
Biology	86803240	1994	2	6.0	1.0	0	3
Biology	86803240	1994	2	8.0	1.0	0	3
Biology	86803240	1994	2	9.0	1.0	0	3
Biology	86803240	1994	2	10.0	1.0	0	3
Biology	86803240	1994	2	10.0	1.0	0	3
Biology	86803240	1994	2	11.0	1.0	0	3
Biology	86803240	1994	2	11.0	1.0	0	3
Biology	86803240	1994	2	11.0	1.0	0	3
Biology	86803240	1994	2	14.0	1.0	0	4
Biology	86803240	1994	2	14.0	1.0	0	4
Biology	86803240	1994	3	16.0	1.0	0	4
Biology	86803240	1994	3	16.0	2.0	0	4
Biology	86803240	1994	3	16.0	2.0	0	4
Biology	86803240	1994	3	17.0	2.0	0	4
Biology	86803240	1994	3	17.0	2.0	0	4
Biology	86803240	1994	3	18.0	2.0	0	4
Biology	86803240	1994	3	20.0	2.0	0	4
Biology	86803240	1994	3	20.0	2.0	0	4
Biology	86803240	1994	3	21.0	2.0	0	5
Biology	86803240	1994	3	25.0	2.0	0	5
Biology	86803240	1994	3	29.0	3.0	0	5
Biology	86803240	1994	3	31.0	3.0	0	6
Biology	86803240	1994	3	36.0	3.0	0	7
Biology	86803240	1994	3	36.0	3.0	0	7
Biology	86803240	1994	4	42.0	3.0	0	7
Biology	86803240	1994	4	46.0	3.0	0	7
Biology	86803240	1994	4	46.0	3.0	0	8
Biology	86803240	1994	5	48.0	3.0	0	8
Biology	86803240	1994	5	49.0	3.0	0	8
Biology	86803240	1994	6	49.0	3.0	0	8
Biology	86803240	1994	6	50.0	3.0	0	10
Biology	86803240	1994	6	62.0	3.0	0	11
Biology	86803240	1994	7	63.0	3.0	0	11
Biology	86803240	1994	7	65.0	4.0	0	11
Biology	86803240	1994	8	66.0	4.0	0	11
Biology	86803240	1994	10	68.0	4.0	0	12
Biology	86803240	1994	12	74.0	4.0	0	13
Biology	86803240	1994	15	79.0	4.0	0	15
Biology	86803240	1994	16	81.0	4.0	1	16
Biology	86803240	1994	16	92.0	4.0	1	18
Biology	86803240	1994	16	103.0	5.0	1	19
Biology	86803240	1994	16	109.0	5.0	1	23
Biology	86803240	1994	16	121.0	5.0	1	24
Biology	86803240	1994	18	194.0	5.0	1	25
Biology	86803240	1994	18	199.0	6.0	1	26
Biology	86803240	1994	19	219.0	7.0	1	28
Biology	86803240	1994	20	220.0	7.0	1	32
Biology	86803240	1994	27	223.0	7.0	1	33
Biology	86803240	1994	27	237.0	8.0	1	33
Biology	86803240	1994	28	261.0	8.0	1	37
Biology	86803240	1994	32	265.0	8.0	1	42
Biology	86803240	1994	38	281.0	10.0	1	64
Biology	86803240	1994	38	636.0	10.0	1	64
Biology	86803240	1994	74	648.0	13.0	1	83
Biology	86803240	1994	82	655.0	15.0	1	103
Biology	86803240	1994	107	1888.0	23.0	1	108
Biology	86803240	1994	188	2588.0	28.0	1	156
Biology	86803240	1994	212	5752.0	45.0	1	179
Biology	86803240	1995	1	0.0	0.0	0	1
Biology	86803240	1995	1	0.0	0.0	0	1
Biology	86803240	1995	1	0.0	0.0	0	1
Biology	86803240	1995	1	0.0	0.0	0	1
Biology	86803240	1995	1	0.0	0.0	0	2
Biology	86803240	1995	1	0.0	0.0	0	2
Biology	86803240	1995	1	1.0	1.0	0	2
Biology	86803240	1995	1	1.0	1.0	0	2
Biology	86803240	1995	1	2.0	1.0	0	2
Biology	86803240	1995	1	2.0	1.0	0	2
Biology	86803240	1995	1	2.0	1.0	0	2
Biology	86803240	1995	1	2.0	1.0	0	2
Biology	86803240	1995	1	4.0	1.0	0	2
Biology	86803240	1995	1	4.0	1.0	0	2
Biology	86803240	1995	1	4.0	1.0	0	3
